日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021/3/15,'600519,贵州茅台,1975.45,2069.8,1951.15,2050,2026,-50.55,-2.4951,0.4974,6248487,12459955712,2.48E+12,2.48E+12
2021/3/12,'600519,贵州茅台,2026,2077,2002.01,2070,2048,-22,-1.0742,0.321,4032251,8181594631,2.55E+12,2.55E+12
2021/3/11,'600519,贵州茅台,2048,2079.99,1961.48,1975,1970.01,77.99,3.9589,0.4519,5676897,11521736384,2.57E+12,2.57E+12
2021/3/10,'600519,贵州茅台,1970.01,1999.87,1967,1977,1936.99,33.02,1.7047,0.4074,5117174,10136910284,2.47E+12,2.47E+12
2021/3/9,'600519,贵州茅台,1936.99,2000,1900.18,1955,1960,-23.01,-1.174,0.6549,8226581,16100769579,2.43E+12,2.43E+12
2021/3/8,'600519,贵州茅台,1960,2085,1960,2074.96,2060.11,-100.11,-4.8594,0.5023,6309959,12724245990,2.46E+12,2.46E+12
2021/3/5,'600519,贵州茅台,2060.11,2095,1988,2000,2033,27.11,1.3335,0.5077,6377920,13100315985,2.59E+12,2.59E+12
2021/3/4,'600519,贵州茅台,2033,2096,2010.1,2095,2140,-107,-5,0.5181,6508829,13297304316,2.55E+12,2.55E+12
2021/3/3,'600519,贵州茅台,2140,2149.77,2033,2040,2058,82,3.9845,0.4316,5421546,11366685429,2.69E+12,2.69E+12
2021/3/2,'600519,贵州茅台,2058,2180,2033,2180,2158,-100,-4.6339,0.5633,7076450,14796698646,2.59E+12,2.59E+12
2021/3/1,'600519,贵州茅台,2158,2179,2120,2179,2122.78,35.22,1.6591,0.3576,4491626,9686945529,2.71E+12,2.71E+12
2021/2/26,'600519,贵州茅台,2122.78,2179.95,2067.3,2100,2150,-27.22,-1.266,0.5296,6652506,14097015494,2.67E+12,2.67E+12
2021/2/25,'600519,贵州茅台,2150,2224.5,2121.21,2209,2189,-39,-1.7816,0.4755,5972643,12982145755,2.70E+12,2.70E+12
2021/2/24,'600519,贵州茅台,2189,2318,2160.5,2307.99,2307,-118,-5.1149,0.6537,8211578,18195034445,2.75E+12,2.75E+12
2021/2/23,'600519,贵州茅台,2307,2344.89,2265,2265.14,2288.02,18.98,0.8295,0.4574,5745460,13316110795,2.90E+12,2.90E+12
2021/2/22,'600519,贵州茅台,2288.02,2455,2278.22,2455,2460,-171.98,-6.9911,0.6284,7893547,18498777223,2.87E+12,2.87E+12
2021/2/19,'600519,贵州茅台,2460,2496.66,2381.6,2451.16,2471,-11,-0.4452,0.4727,5938546,14525164525,3.09E+12,3.09E+12
2021/2/18,'600519,贵州茅台,2471,2627.88,2465,2587.98,2601,-130,-4.9981,0.5247,6591232,16704135269,3.10E+12,3.10E+12
2021/2/10,'600519,贵州茅台,2601,2601.2,2485,2485,2456.43,144.57,5.8854,0.4885,6137057,15675929714,3.27E+12,3.27E+12
2021/2/9,'600519,贵州茅台,2456.43,2456.43,2350,2368.8,2368.8,87.63,3.6993,0.2651,3329655,7972930045,3.09E+12,3.09E+12
2021/2/8,'600519,贵州茅台,2368.8,2378.88,2313,2337,2313,55.8,2.4125,0.2849,3578573,8420758625,2.98E+12,2.98E+12
2021/2/5,'600519,贵州茅台,2313,2364.6,2291,2325,2320.85,-7.85,-0.3382,0.3163,3972906,9253566205,2.91E+12,2.91E+12
2021/2/4,'600519,贵州茅台,2320.85,2330,2191,2191,2189.91,130.94,5.9792,0.5083,6385101,14596930188,2.92E+12,2.92E+12
2021/2/3,'600519,贵州茅台,2189.91,2198.27,2140,2150,2145,44.91,2.0937,0.3082,3871415,8384049314,2.75E+12,2.75E+12
2021/2/2,'600519,贵州茅台,2145,2149.99,2102.1,2112.22,2109.32,35.68,1.6915,0.2753,3458225,7372233582,2.69E+12,2.69E+12
